App,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
10 Best Foods for You,Positive,0.4707328206587227,0.49545471424337406
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,Positive,0.3924045634920635,0.5455162698412699
11st,Positive,0.18594278406778406,0.45534044659044665
1800 Contacts - Lens Store,Positive,0.3181447736291486,0.5910984848484848
1LINE – One Line with One Touch,Positive,0.19629029961266803,0.5573153053087264
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,Positive,0.4495659722222222,0.5205729166666667
21-Day Meditation Experience,Positive,0.25801367845117845,0.5510479902042402
"2Date Dating App, Love and matching",Positive,0.2802671702652353,0.5583907406662825
2GIS: directory & navigator,Positive,0.22312904265873015,0.3966579365079365
2RedBeans,Positive,0.4121991790261021,0.5978684477915248
2ndLine - Second Phone Number,Positive,0.16896820887445888,0.3770225018037518
30 Day Fitness Challenge - Workout at Home,Positive,0.33353687339286414,0.5585879078678617
365Scores - Live Scores,Positive,0.4383116883116883,0.6396103896103896
3D Live Neon Weed Launcher,Positive,0.5681818181818181,0.4
4 in a Row,Positive,0.28114351851851854,0.5781031746031746
4K Wallpapers and Ultra HD Backgrounds,Positive,0.17932800224466894,0.594328202661536
591房屋交易-租屋、中古屋、新建案、實價登錄、別墅透天、公寓套房、捷運、買房賣房行情、房價房貸查詢,Neutral,0.08079241071428571,0.3217280801209373
591房屋交易-香港,Positive,0.22291666666666668,0.31342592592592594
7 Cups: Anxiety & Stress Chat,Positive,0.3246701388888889,0.5671585648148147
7 Day Food Journal Challenge,Positive,0.18941137566137567,0.6002028218694886
7 Minute Workout,Positive,0.41027777777777774,0.6212481962481963
7 Weeks - Habit & Goal Tracker,Positive,0.14282013621299336,0.49746949974628546
8 Ball Pool,Negative,0.0012520071606734009,0.4913517369146038
850 Sports News Digest,Positive,0.5428597480561766,0.6924202606002057
8fit Workouts & Meal Planner,Positive,0.2648642413061273,0.5346484758473062
95Live -SG#1 Live Streaming App,Positive,0.06900233100233101,0.4559274799274799
A Call From Santa Claus!,Positive,0.008293862999745357,0.6577408804430863
A Word A Day,Positive,0.2772727272727273,0.6690340909090909
A&E - Watch Full Episodes of TV Shows,Positive,0.35388257575757576,0.49546326754385966
A+ Gallery - Photos & Videos,Positive,0.2088149162103866,0.40287027819257787
A+ Mobile,Positive,0.3295922619047619,0.522708380574452
ABC Kids - Tracing & Phonics,Positive,0.36777017277017277,0.5095799695799695
ABC News - US & World News,Negative,-0.04236183905380334,0.4111693465264894
ABC Preschool Free,Positive,0.22080488040123458,0.4229706790123457
ABCmouse.com,Positive,0.18250385802469135,0.5238508597883598
AC - Tips & News for Android™,Positive,0.09841655071119357,0.4841472548615406
ACE Elite,Positive,0.25217091550424886,0.44258938592271924
"AD - Nieuws, Sport, Regio & Entertainment",Positive,0.16182364314883113,0.46580603989438574
AMC Theatres,Positive,0.13569444444444442,0.5781944444444445
ANA,Negative,-0.026024764844209285,0.3005272633744856
"AOL - News, Mail & Video",Positive,0.09218199309108398,0.3985407465710496
AP Mobile - Breaking News,Positive,0.1951159148207759,0.47140920486406596
APE Weather ( Live Forecast),Positive,0.4323232323232323,0.5066498316498317
"APUS Launcher - Theme, Wallpaper, Hide Apps",Positive,0.44747311827956987,0.5185483870967742
ARY NEWS,Positive,0.23374426078971533,0.43835169880624425
ARY NEWS URDU,Positive,0.24342580213903742,0.5183455882352942
ASOS,Positive,0.31691663660413655,0.5864045214045215
ASUS Calling Screen,Neutral,0.06316393097643097,0.4153295604858105
