,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
0,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24M,10000000,Free,0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up,Positive,0.2048395689349636,0.5360009824483508
1,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16M,10000000,Free,0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,Positive,0.2877923040754261,0.5447434959291718
2,Beauty Camera - Selfie Camera,BEAUTY,4.0,113715,Varies with device,10000000,Free,0,Everyone,Beauty,"August 3, 2017",Varies with device,Varies with device,Positive,0.1999936618165784,0.4508201058201058
3,Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,100000000,Free,0,Teen,Books & Reference,"July 27, 2018",Varies with device,Varies with device,Positive,0.0651918671343387,0.4601174881982962
4,Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814151,Varies with device,100000000,Free,0,Teen,Books & Reference,"July 27, 2018",Varies with device,Varies with device,Positive,0.0651918671343387,0.4601174881982962
5,Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,Varies with device,10000000,Free,0,Everyone,Books & Reference,"July 17, 2015",Varies with device,1.5 and up,Positive,0.115840791609706,0.4773699162679426
6,Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060,Varies with device,10000000,Free,0,Everyone,Books & Reference,"May 18, 2018",Varies with device,Varies with device,Positive,0.2387310606060605,0.4623211279461279
7,Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454412,Varies with device,10000000,Free,0,Everyone,Books & Reference,"May 18, 2018",Varies with device,Varies with device,Positive,0.2387310606060605,0.4623211279461279
8,FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130,Varies with device,10000000,Free,0,Everyone,Books & Reference,"June 28, 2018",Varies with device,Varies with device,Positive,0.2777048112144266,0.4724487336025797
9,HTC Help,BOOKS_AND_REFERENCE,4.2,8342,Varies with device,10000000,Free,0,Everyone,Books & Reference,"August 28, 2017",9.00.950462,7.0 and up,Positive,0.1068702125420875,0.3478900462962963
10,Google Primer,BUSINESS,4.4,62272,18M,10000000,Free,0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up,Positive,0.75,0.675
11,Facebook Pages Manager,BUSINESS,4.0,1279184,Varies with device,50000000,Free,0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device,Negative,-0.0610827285459638,0.4408528562940327
12,Facebook Pages Manager,BUSINESS,4.0,1279800,Varies with device,50000000,Free,0,Everyone,Business,"August 6, 2018",Varies with device,Varies with device,Negative,-0.0610827285459638,0.4408528562940327
13,Box,BUSINESS,4.2,159872,Varies with device,10000000,Free,0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,Positive,0.4100005087505087,0.4350864875864875
14,Box,BUSINESS,4.2,159872,Varies with device,10000000,Free,0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,Positive,0.4100005087505087,0.4350864875864875
15,Box,BUSINESS,4.2,159872,Varies with device,10000000,Free,0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,Positive,0.4100005087505087,0.4350864875864875
16,Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,10000000,Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,Positive,0.3130631605631605,0.4279001891501892
17,Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,10000000,Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,Positive,0.3130631605631605,0.4279001891501892
18,Cisco Webex Meetings,BUSINESS,4.4,108741,28M,10000000,Free,0,Everyone,Business,"July 20, 2018",11.1.0,4.3 and up,Positive,0.1035770248270248,0.4623848528015195
19,Gmail,COMMUNICATION,4.3,4604324,Varies with device,1000000000,Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device,Positive,0.0713831018518518,0.4659200872189153
20,Gmail,COMMUNICATION,4.3,4604483,Varies with device,1000000000,Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device,Positive,0.0713831018518518,0.4659200872189153
21,Gmail,COMMUNICATION,4.3,4604324,Varies with device,1000000000,Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device,Positive,0.0713831018518518,0.4659200872189153
22,Hangouts,COMMUNICATION,4.0,3419249,Varies with device,1000000000,Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,Positive,0.2515033286340852,0.5312487273123238
23,Hangouts,COMMUNICATION,4.0,3419433,Varies with device,1000000000,Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,Positive,0.2515033286340852,0.5312487273123238
